Purchase_ID,Customer_ID,Amount
1,2,1762.55
2,43,9890.97
3,169,3022.58
4,22,5241.46
5,197,3725.58
6,28,2560.59
7,106,9150.63
8,63,8310.11
9,110,4453.13
10,29,1854.98
11,177,1395.32
12,16,5752.58
13,169,6372.82
14,169,1913.52
15,35,5062.14
16,60,515.38
17,195,4135.48
18,49,1103.34
19,8,2813.98
20,75,8556.43
21,42,1845.42
22,185,849.76
23,191,4207.67
24,156,2859.52
25,125,6039.16
26,87,5907.73
27,40,873.96
28,138,4987.76
29,140,5593.37
30,22,803.35
31,153,1495.55
32,19,3655.84
33,153,7152.5
34,16,6577.33
35,28,6382.98
36,146,380.6
37,160,5999.09
38,178,516.18
39,117,9786.79
40,94,2477.73
41,157,3312.8
42,36,6340.9
43,32,3828.65
44,118,2674.95
45,66,5712.82
46,91,1682.82
47,77,5040.51
48,115,7168.38
49,129,6034.29
50,129,7826.89
51,135,625.17
52,127,4545.19
53,16,3156.24
54,152,5113.2
55,169,7366.73
56,36,1082.1
57,138,6035.93
58,128,7195.84
59,62,7706.22
60,115,8932.4
61,133,8370.55
62,184,2612.51
63,52,5242.28
64,88,3056.31
65,28,1681.17
66,140,6860.52
67,118,6320.33
68,29,3065.68
69,7,797.6
70,178,7630.51
71,197,7730.03
72,107,3240.26
73,158,6992.52
74,159,6864.11
75,182,7014.81
76,182,5766.47
77,73,8648.86
78,23,2716.41
79,93,7873.39
80,13,1051.31
81,114,1099.65
82,137,5313.18
83,118,3775.5
84,161,485.36
85,28,2725.81
86,112,8234.32
87,29,7966.04
88,23,7498.27
89,61,568.38
90,157,4338.34
91,81,4030.71
92,42,8082.26
93,19,497.49
94,136,6931
95,1,262.32
96,104,9494.7
97,161,2804.01
98,168,5713.12
99,185,4620.32
100,149,4144.18
101,21,1958.27
102,129,2897.79
103,154,3107.23
104,44,5137.57
105,35,4673.01
106,162,1619.9
107,13,2944.77
108,191,373.97
109,76,6261.51
110,120,7750.28
111,158,978.77
112,104,1454.22
113,15,591.6
114,53,9991.36
115,81,4723.43
116,105,5542.53
117,13,4236.83
118,98,9874.76
119,157,6481.05
120,44,1405.98
121,112,8022.71
122,1,3081.36
123,94,9006.43
124,107,1622.58
125,32,4232.84
126,144,5059.5
127,184,1431.13
128,126,4045.15
129,86,5432.58
130,110,2433.41
131,85,137.82
132,59,3774.56
133,175,7656.19
134,103,1657.19
135,195,7953.58
136,199,1900.22
137,178,7103.26
138,44,8843.73
139,46,5613.82
140,128,7106.52
141,130,6254.09
142,26,4791.4
143,98,9797.41
144,157,9083.01
145,158,3440.49
146,178,7105.02
147,55,9129.03
148,41,5465.4
149,8,1850.42
150,129,4556.14
151,163,7270.35
152,178,5238.41
153,39,4901.66
154,89,9758.89
155,129,3015.14
156,66,9072.1
157,5,5084.81
158,119,9765.41
159,172,1072.73
160,178,2627.75
161,19,8542.1
162,158,8086.31
163,124,1723.87
164,61,3172.68
165,72,7506.5
166,56,4514.06
167,191,9317.33
168,108,9168.1
169,118,3558.49
170,32,7617.94
171,149,5769.88
172,2,3696.64
173,158,8743.38
174,114,376.7
175,83,2243.64
176,135,7718.29
177,60,4536.98
178,34,9939.98
179,9,594.6
180,193,7278.84
181,12,230.78
182,72,6413.37
183,32,3530.96
184,44,3314.96
185,12,2779.54
186,17,9815.74
187,88,7956.43
188,188,9664.61
189,71,4865.92
190,178,1694.22
191,187,904.39
192,3,4038.74
193,54,5149.43
194,152,1555.31
195,136,7233.91
196,9,7146.9
197,9,4428.14
198,159,7786.23
199,28,7077.24
200,10,5581.43
201,171,4178.7
202,10,9016.86
203,181,9509.84
204,186,6595.02
205,16,2486.12
206,63,9646.4
207,24,6577.5
208,77,5905.29
209,134,5627.8
210,184,6895.14
211,89,4428.82
212,40,1972.14
213,51,1558.35
214,5,6420.61
215,100,1980.49
216,37,9875.98
217,44,9015.86
218,43,9407.72
219,172,6327.6
220,77,5575.21
221,199,8461.01
222,166,7577.79
223,23,2029.18
224,85,3459.97
225,55,3271.96
226,113,3249.84
227,112,7319.59
228,91,885.87
229,57,8739.26
230,63,404.66
231,109,3531.59
232,192,1022.68
233,154,9884.96
234,40,3273.46
235,44,6803.86
236,196,3900.95
237,178,1431.37
238,189,5645.73
239,91,303.48
240,84,8831.6
241,157,4018.1
242,44,8749
243,125,898.79
244,181,4599.67
245,120,106.83
246,23,8951.38
247,141,1686.6
248,104,3970.54
249,68,7485.56
250,114,115.49
251,155,7570.95
252,63,2333.12
253,170,3014.03
254,104,1586.49
255,127,9073.76
256,131,901.65
257,156,323.08
258,118,1384.95
259,150,6187.29
260,28,7197.59
261,144,7738.79
262,143,1799.67
263,69,9703.45
264,155,9479.36
265,44,4760.16
266,127,5746.74
267,158,6897.29
268,93,3847.42
269,115,3904.45
270,153,3344.78
271,111,3965.63
272,19,127.22
273,35,6130.75
274,143,1887.88
275,99,7353.23
276,80,5693.22
277,107,9257.71
278,14,3819.06
279,111,1862.35
280,3,809.14
281,188,718.84
282,164,2714.57
283,68,7650.43
284,174,6591.13
285,63,7906.84
286,89,1327.75
287,24,6774.59
288,135,1282.41
289,41,3155.53
290,18,9377.08
291,154,3336.09
292,116,2467.53
293,27,900.74
294,196,5125.04
295,164,918.3
296,11,4866.43
297,52,1480.24
298,162,8112.5
299,43,8969.04
300,132,8574.25
301,37,6581.11
302,62,8998.6
303,89,1571.11
304,36,6161.58
305,6,7529.68
306,155,7281.6
307,56,2934.83
308,51,3040.9
309,22,5712.47
310,9,3686.88
311,47,1275.68
312,149,4152.87
313,113,1287.47
314,100,2310.67
315,35,9432.17
316,155,5397.45
317,2,2816.01
318,31,5651.83
319,8,8026.8
320,105,6398.17
321,114,2022.59
322,81,2599.27
323,92,9876.86
324,166,8920.02
325,34,8252.95
326,18,9323.3
327,86,4729
328,18,4603.26
329,186,8655.75
330,117,5177.33
331,36,7405.31
332,85,6172.23
333,107,8002.75
334,146,2038.66
335,59,293.08
336,170,9055.61
337,188,8414.31
338,145,2444.89
339,2,5385.37
340,192,8236.21
341,8,8711.53
342,40,1230.33
343,198,3841.48
344,128,6551.4
345,137,9021.41
346,32,1539.76
347,30,6056.04
348,67,4768.08
349,18,7223.74
350,70,7799.73
351,192,7349.28
352,98,759.74
353,48,874.88
354,58,3740.96
355,186,6406.48
356,147,2923.69
357,50,5559.81
358,3,1168.17
359,22,5109.34
360,7,9995.5
361,87,5478.89
362,53,8939.21
363,90,7906.22
364,175,4643.22
365,39,6418.42
366,59,2793.5
367,7,8503.31
368,49,429.93
369,103,3349.04
370,37,2488.51
371,159,844.33
372,166,8982.2
373,110,9031.13
374,7,1255.65
375,119,7442.95
376,102,1312.55
377,133,7273.16
378,126,3161.85
379,160,593.84
380,87,9702.65
381,145,8186.44
382,155,4520.01
383,13,3865.91
384,172,3069.19
385,22,1296.52
386,160,6387.31
387,10,5481.06
388,5,1094.34
389,89,2740.29
390,189,1094.15
391,101,8256.97
392,152,9793.22
393,137,3294.55
394,178,5652.01
395,180,7552.07
396,119,530.77
397,163,5887.63
398,100,3659.83
399,141,3953.72
400,56,813.39
401,114,7110.9
402,99,2853.28
403,136,794.19
404,68,2424.71
405,189,5482.21
406,5,5495.13
407,21,4234.98
408,40,9282.06
409,143,1544.71
410,19,4181.53
411,134,6328.53
412,57,718.2
413,89,5985.86
414,175,7377.22
415,199,1520.74
416,155,4492.83
417,23,9565.91
418,61,104.21
419,80,6203.62
420,59,9755.31
421,165,9928.86
422,23,6061.83
423,34,6639.22
424,110,843.82
425,57,5622.73
426,72,5962.6
427,57,4171.84
428,155,3617.54
429,156,6338.39
430,126,852.66
431,192,408.85
432,116,4169.26
433,24,3262.84
434,50,6536.54
435,59,8982.7
436,51,7679.15
437,167,230.3
438,166,6460
439,114,6759.26
440,198,7844.97
441,185,5629.08
442,14,3492.56
443,156,9865.04
444,115,3975.77
445,195,3788.59
446,178,5547.66
447,30,6711.59
448,84,8557.84
449,198,2950.87
450,91,542.32
451,52,6356.72
452,185,335.14
453,75,8133.41
454,30,6533.77
455,8,2530.82
456,164,8155.01
457,59,7725.66
458,75,5193.46
459,141,4533.78
460,102,9575.71
461,58,4338.53
462,54,4264.59
463,61,1074.53
464,168,7275.58
465,90,868.92
466,102,3760.38
467,1,799.82
468,146,3046.12
469,23,8586.92
470,37,9214.79
471,144,9656
472,149,5948.68
473,29,5896.18
474,11,8301.25
475,135,8877.67
476,196,8238.36
477,24,4266.83
